[2024-07-26 10:00:22.891]	 Already installed "tmux-resurrect"
[2024-07-26 10:00:22.905]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-26 10:00:23.058]	 Updating all plugins!
[2024-07-26 10:00:23.059]	 
[2024-07-26 10:00:23.667]	   "tmux-resurrect" update success
[2024-07-26 10:00:23.670]	     | Already up to date.
[2024-07-26 10:00:23.681]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-26 10:00:23.731]	 Done.

[2024-07-26 10:00:41.944]	 List of discovered tpm plugins: tmux-plugins/tmux-resurrect
[2024-07-26 10:00:41.955]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/install_plugins
[2024-07-26 10:00:42.162]	 Already installed "tmux-resurrect"
[2024-07-26 10:00:42.175]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-26 10:00:42.320]	 Updating all plugins!
[2024-07-26 10:00:42.320]	 
[2024-07-26 10:00:42.886]	   "tmux-resurrect" update success
[2024-07-26 10:00:42.889]	     | Already up to date.
[2024-07-26 10:00:42.900]	 Invoking /Users/evollt/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-26 10:00:42.944]	 Done.

